epoch,train_loss,validation_accuracy,validation_balanced_accuracy,validation_real_accuracy,validation_fake_accuracy,validation_auroc,validation_average_precision,validation_loss,validation_balanced_threshold,validation_worst_class_recall,validation_balanced_accuracy_at_balanced_threshold,validation_worst_source_recall_at_balanced_threshold
0,1.5640126889918273,0.8610796526991318,0.861120532406088,0.7528301886792453,0.9694108761329305,0.8782463803226358,0.848768973284849,3.690959700516292,0.9847293496131897,0.8090566037735849,0.8103062475061278,0.0
1,1.3953046107188964,0.8484333710834278,0.8484701875391895,0.7509433962264151,0.9459969788519638,0.8685588981360086,0.8316654133250158,4.651874686990466,0.976090669631958,0.809433962264151,0.8138937182921964,0.0
2,1.2994815957494628,0.846734616836542,0.8467799122156986,0.7267924528301887,0.9667673716012085,0.8806687140169869,0.8545060784827219,4.351996462259974,0.9876476526260376,0.8079245283018868,0.8205030496494328,0.0
3,1.2618772477814646,0.850887127217818,0.8509260103745084,0.7479245283018868,0.9539274924471299,0.8772520378498546,0.8500428574082278,3.7825951193060194,0.9809795022010803,0.8086792452830188,0.8144604685629595,0.0
4,1.2484392325083415,0.8523971309928274,0.8524381519694465,0.7437735849056604,0.9611027190332326,0.8789280624750613,0.8519298872939033,3.8784482734543935,0.9842930436134338,0.8090566037735849,0.8155932565695719,0.0
5,1.2430083116927704,0.8512646281615704,0.851306361511714,0.740754716981132,0.9618580060422961,0.87963297326569,0.8532063997979855,3.7367474330323085,0.9853397011756897,0.8090566037735849,0.8154044348173061,0.0
